City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Katsuura,JP,35.1333,140.3,48.99,39,75,13.8,broken clouds
246,Cuiaba,BR,-15.5961,-56.0967,78.8,65,0,4.61,clear sky
247,Shimoda,JP,34.6667,138.95,51.8,58,40,11.5,scattered clouds
248,Pacific Grove,US,36.6177,-121.9166,51.8,82,1,3.22,clear sky
249,Urdoma,RU,61.7533,48.5442,-22.65,84,100,7.58,overcast clouds
250,Ghugus,IN,19.9333,79.1333,70.77,22,50,4.92,scattered clouds
251,Bandar-E Anzali,IR,37.4727,49.4622,51.8,100,75,4.65,mist
252,Kyzyl-Suu,KG,42.3414,78.0056,38.39,73,98,4.45,overcast clouds
253,Kishi,NG,9.0833,3.85,71.06,25,15,2.35,few clouds
254,Lompoc,US,34.6391,-120.4579,53.6,87,75,3.44,broken clouds
255,Aswan,EG,24.0934,32.907,57.63,56,0,11.59,clear sky
256,Yerbogachen,RU,61.2767,108.0108,27.52,98,100,9.06,light snow
257,Wewak,PG,-3.5534,143.6268,85.33,64,73,7.11,broken clouds
258,Soto La Marina,MX,23.7667,-98.2167,63.0,92,6,8.28,clear sky
259,Portland,US,45.5234,-122.6762,44.01,76,92,3.0,overcast clouds
260,Clyde River,CA,70.4692,-68.5914,-5.8,84,1,10.36,mist
261,Iqaluit,CA,63.7506,-68.5145,32.0,74,90,14.97,light snow
262,Tromso,NO,69.6496,18.957,26.6,80,75,11.5,light snow
263,Norman Wells,CA,65.282,-126.8329,-25.6,75,20,6.91,few clouds
264,Salinas,US,36.6777,-121.6555,53.6,82,1,4.61,clear sky
265,Osorio,BR,-29.8867,-50.2697,66.99,87,0,2.55,clear sky
266,Lorengau,PG,-2.0226,147.2712,85.68,67,58,7.96,broken clouds
267,Sovetskiy,RU,61.3614,63.5842,-14.44,89,100,5.1,light snow
268,Uray,RU,60.1247,64.7758,-11.51,90,100,4.81,light snow
269,Ixtapa,MX,20.7,-105.2,68.0,83,1,1.19,clear sky
270,Springfield,US,37.2153,-93.2982,26.01,93,90,14.97,overcast clouds
271,Port Hardy,CA,50.6996,-127.4199,39.2,80,75,5.75,broken clouds
272,Sur,OM,22.5667,59.5289,68.45,61,1,0.29,clear sky
273,Upernavik,GL,72.7868,-56.1549,17.55,79,39,5.03,scattered clouds
274,Kanniyakumari,IN,8.0833,77.5667,78.42,62,17,26.8,few clouds
275,Phan Thiet,VN,10.9333,108.1,85.15,52,23,7.85,few clouds
276,Ponta Do Sol,PT,32.6667,-17.1,57.99,78,40,5.99,scattered clouds
277,Richards Bay,ZA,-28.783,32.0377,74.26,91,99,5.79,overcast clouds
278,Peniche,PT,39.3558,-9.3811,54.0,89,38,11.99,scattered clouds
279,San Ramon,US,37.7799,-121.978,55.4,58,1,0.45,clear sky
280,Stornoway,GB,58.2093,-6.3865,33.8,75,75,13.8,broken clouds
281,Dori,BF,14.0354,-0.0345,70.63,22,78,9.86,broken clouds
282,Saskylakh,RU,71.9167,114.0833,-35.68,80,41,10.58,scattered clouds
283,Alice Springs,AU,-23.7,133.8833,93.2,17,76,16.11,broken clouds
284,Port Blair,IN,11.6667,92.75,73.4,88,90,5.75,overcast clouds
285,Esna,EG,25.2934,32.554,57.2,77,0,3.44,clear sky
286,Tamandare,BR,-8.7597,-35.1047,76.78,84,100,5.61,overcast clouds
287,Kavieng,PG,-2.5744,150.7967,84.74,71,25,8.05,scattered clouds
288,Tikhvin,RU,59.6451,33.5294,-2.99,83,84,4.79,broken clouds
289,Makakilo City,US,21.3469,-158.0858,77.0,47,1,6.91,clear sky
290,Yokadouma,CM,3.5167,15.05,67.6,78,90,2.13,overcast clouds
291,Minab,IR,27.1467,57.0801,64.4,82,75,4.61,mist
292,Riyadh,SA,24.6877,46.7219,55.4,76,0,10.36,clear sky
293,Nouadhibou,MR,20.931,-17.0347,60.8,72,0,17.27,clear sky
294,Talnakh,RU,69.4865,88.3972,-13.52,77,54,4.03,broken clouds
295,Belmonte,BR,-15.8631,-38.8828,78.8,83,75,8.05,broken clouds
296,Bagan,RU,54.1001,77.6646,17.01,97,97,15.35,light snow
297,Korla,CN,41.7597,86.1469,38.95,58,96,5.21,overcast clouds
298,Hobyo,SO,5.3505,48.5268,77.61,78,23,17.83,few clouds
299,Dudinka,RU,69.4058,86.1778,-23.03,83,96,11.99,overcast clouds
300,Sorland,NO,67.667,12.6934,35.51,79,88,7.81,overcast clouds
301,Atasu,KZ,48.6814,71.6433,34.36,97,100,31.5,snow
302,Virginia Beach,US,36.8529,-75.978,36.0,86,1,3.44,clear sky
303,Ordzhonikidze,KZ,52.4411,61.7408,-10.66,85,0,16.75,clear sky
304,Alcacer Do Sal,PT,38.3733,-8.5144,55.99,87,20,8.05,few clouds
305,Russell,US,32.3502,-85.1999,44.6,93,1,4.25,clear sky
306,Gambela,ET,8.25,34.5833,71.2,29,1,4.21,clear sky
307,Broome,US,42.2506,-75.833,10.99,67,20,12.66,few clouds
308,Beroroha,MG,-21.6667,45.1667,77.59,82,99,2.3,overcast clouds
309,Geraldton,AU,-28.7667,114.6,75.2,64,40,14.97,scattered clouds
310,Providencia,MX,28.7167,-111.5833,60.01,39,0,1.01,clear sky
311,Canandaigua,US,42.8742,-77.288,8.01,51,8,4.0,clear sky
312,Karakol,KG,42.4907,78.3936,33.89,85,87,2.93,light snow
313,Muswellbrook,AU,-32.2667,150.9,79.23,51,23,12.53,few clouds
314,Zhumadian,CN,32.9794,114.0294,47.68,52,100,10.4,overcast clouds
315,Pandan,PH,14.0453,124.1694,79.68,83,100,17.27,overcast clouds
316,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,24.01,80,100,3.44,light snow
317,Baiao,BR,-2.7906,-49.6717,72.81,97,34,0.81,scattered clouds
318,Valdivia,CL,-39.8142,-73.2459,55.4,94,0,1.25,clear sky
319,Camacha,PT,33.0833,-16.3333,60.8,88,40,16.11,scattered clouds
320,Wuda,CN,39.4994,106.7117,35.94,66,22,2.37,few clouds
321,Planaltina,BR,-15.4528,-47.6142,68.0,94,75,5.75,heavy intensity rain
322,Frankfort,ZA,-27.2667,28.4833,57.02,94,0,2.93,clear sky
323,Jizan,SA,17.3333,42.6667,71.6,78,20,3.44,few clouds
324,Bereda,ES,43.2686,-7.5406,46.99,100,85,5.99,overcast clouds
325,Biak,ID,-0.9131,122.8766,84.4,67,99,1.81,overcast clouds
326,Baherden,TM,38.4362,57.4316,49.19,70,100,4.38,overcast clouds
327,Naryan-Mar,RU,67.6713,53.087,-13.47,88,100,16.02,overcast clouds
328,Ornskoldsvik,SE,63.2909,18.7153,19.4,93,90,5.75,overcast clouds
329,Yazoo City,US,32.8551,-90.4056,42.8,81,90,4.56,overcast clouds
330,Chisindia,RO,46.2833,22.1,45.0,81,0,6.91,clear sky
331,Hede,CN,33.7681,120.2517,42.37,59,90,10.56,overcast clouds
332,Baghpat,IN,28.95,77.2167,64.99,94,0,3.44,mist
333,Provideniya,RU,64.3833,-173.3,-1.14,85,100,20.83,overcast clouds
334,Lewiston,US,44.1003,-70.2148,23.0,86,90,8.05,overcast clouds
335,Ushtobe,KZ,45.2514,77.9838,36.99,80,100,3.91,overcast clouds
336,Opuwo,NA,-18.0607,13.84,65.34,38,62,2.26,broken clouds
337,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.57,93,100,2.64,overcast clouds
338,Bealanana,MG,-14.55,48.7333,66.61,86,61,1.88,broken clouds
339,Ekuvukeni,ZA,-28.4675,30.1551,63.66,90,73,2.33,broken clouds
340,Boa Vista,BR,2.8197,-60.6733,80.6,69,0,11.5,clear sky
341,Inirida,CO,3.8653,-67.9239,74.3,92,100,1.54,overcast clouds
342,Hennenman,ZA,-27.9765,27.0242,61.0,95,0,2.37,clear sky
343,Zaria,NG,11.1113,7.7227,61.86,28,5,7.31,clear sky
344,Doctor Phillips,US,28.4495,-81.4923,62.6,88,75,12.66,broken clouds
345,Hearst,CA,49.6835,-83.6665,-11.2,70,100,8.05,overcast clouds
