City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Urumqi,CN,2021-02-07 20:16:16,43.801,87.6005,14.0,85,100,1.99
215,Maniitsoq,GL,2021-02-07 20:20:29,65.4167,-52.9,27.05,80,0,16.31
216,Christchurch,NZ,2021-02-07 20:20:29,-43.5333,172.6333,70.0,82,6,5.75
217,Rognan,NO,2021-02-07 20:20:29,67.0953,15.3878,24.01,92,99,0.89
218,Farafangana,MG,2021-02-07 20:20:29,-22.8167,47.8333,80.01,86,100,12.41
219,Dabeiba,CO,2021-02-07 20:20:29,7.0017,-76.2672,82.29,71,100,3.27
220,Anjar,IN,2021-02-07 20:20:30,23.1333,70.0167,65.34,34,0,7.72
221,Tymovskoye,RU,2021-02-07 20:20:30,50.8456,142.655,2.82,91,100,7.99
222,Wang Noi,TH,2021-02-07 20:20:30,14.2269,100.7155,78.8,89,0,4.61
223,Hanusovice,CZ,2021-02-07 20:20:30,50.0805,16.9364,18.0,91,100,9.44
224,Mogapinyana,BW,2021-02-07 20:20:30,-22.3667,27.6,68.67,85,95,5.64
225,Bati,ET,2021-02-07 20:20:30,11.1833,40.0167,58.19,82,89,1.59
226,Neiafu,TO,2021-02-07 20:20:30,-18.65,-173.9833,78.8,89,90,13.8
227,Dudinka,RU,2021-02-07 20:20:30,69.4058,86.1778,-28.68,81,51,12.08
228,Ribeira Grande,PT,2021-02-07 20:20:31,38.5167,-28.7,59.0,77,40,12.66
229,Sakhon Nakhon,TH,2021-02-07 20:20:31,17.1612,104.1472,67.32,83,0,7.54
230,Pandamatenga,BW,2021-02-07 20:20:31,-18.5278,25.627,68.25,91,100,5.44
231,Nelson Bay,AU,2021-02-07 20:20:31,-32.7167,152.15,69.8,78,40,10.36
232,Husavik,IS,2021-02-07 20:20:31,66.0449,-17.3389,32.0,80,90,2.3
233,Lima,PE,2021-02-07 20:18:42,-12.0432,-77.0282,77.0,69,75,11.5
234,Gresik,ID,2021-02-07 20:20:31,-7.1539,112.6561,77.0,94,20,6.91
235,Iqaluit,CA,2021-02-07 20:16:33,63.7506,-68.5145,26.6,74,75,6.91
236,Tupelo,US,2021-02-07 20:20:32,34.2576,-88.7034,42.8,70,90,10.36
237,Pevek,RU,2021-02-07 20:19:01,69.7008,170.3133,-5.98,86,0,3.18
238,Korla,CN,2021-02-07 20:20:10,41.7597,86.1469,34.3,69,87,8.66
239,Saskylakh,RU,2021-02-07 20:20:32,71.9167,114.0833,-37.07,79,28,13.29
240,Zhanaozen,KZ,2021-02-07 20:20:32,43.3,52.8,31.59,89,24,13.69
241,Hasaki,JP,2021-02-07 20:18:27,35.7333,140.8333,32.0,86,20,5.75
242,Port Blair,IN,2021-02-07 20:20:33,11.6667,92.75,78.03,81,1,10.0
243,Abaza,RU,2021-02-07 20:20:33,52.655,90.0928,23.38,92,96,3.65
244,Mar Del Plata,AR,2021-02-07 20:20:05,-38.0023,-57.5575,62.01,94,90,13.8
245,Acarau,BR,2021-02-07 20:20:33,-2.8856,-40.12,84.11,69,0,17.72
246,Nouadhibou,MR,2021-02-07 20:20:33,20.931,-17.0347,66.2,68,0,19.57
247,Haines Junction,CA,2021-02-07 20:18:59,60.7522,-137.5108,-16.6,52,21,1.14
248,Susangerd,IR,2021-02-07 20:20:33,31.5608,48.1831,53.6,94,0,2.3
249,Mashhad,IR,2021-02-07 20:20:34,36.297,59.6062,46.4,71,20,4.61
250,Jasdan,IN,2021-02-07 20:20:34,22.0333,71.2,64.27,29,0,11.3
251,Tessalit,ML,2021-02-07 20:20:34,20.1986,1.0114,66.15,25,100,10.8
252,Ayan,RU,2021-02-07 20:20:34,56.45,138.1667,-4.99,80,100,19.69
253,Hailar,CN,2021-02-07 20:20:34,49.2,119.7,-16.08,87,1,4.07
254,Karanja,IN,2021-02-07 20:20:34,20.4833,77.4833,60.04,32,100,7.61
255,Bouna,CI,2021-02-07 20:20:35,9.2667,-3.0,85.96,20,0,2.55
256,Cedar City,US,2021-02-07 20:16:36,37.6775,-113.0619,55.4,8,1,8.05
257,Kavieng,PG,2021-02-07 20:20:35,-2.5744,150.7967,82.94,75,68,8.19
258,Victoria,HK,2021-02-07 20:20:35,22.2855,114.1577,68.0,83,0,12.3
259,Sovetskiy,RU,2021-02-07 20:20:35,61.3614,63.5842,-14.15,89,100,8.19
260,Yazman,PK,2021-02-07 20:20:35,29.1212,71.7446,61.11,28,0,4.76
261,Caucaia,BR,2021-02-07 20:20:35,-3.7361,-38.6531,84.2,74,0,12.66
262,Grootfontein,NA,2021-02-07 20:20:36,-19.5667,18.1167,68.0,94,100,3.44
263,Bairnsdale,AU,2021-02-07 20:20:36,-37.8333,147.6167,54.0,75,2,4.0
264,Yaan,NG,2021-02-07 20:20:36,7.3833,8.5667,83.21,15,97,1.99
265,Gribanovskiy,RU,2021-02-07 20:20:36,51.4579,41.9764,-5.71,91,0,11.25
266,Chokurdakh,RU,2021-02-07 20:20:36,70.6333,147.9167,-19.97,87,100,8.23
267,Krasnyy Oktyabr,RU,2021-02-07 20:20:36,56.1167,38.8833,-4.34,89,48,6.04
268,Ascension,US,2021-02-07 20:16:02,30.2169,-90.9001,60.01,55,1,5.75
269,Russell,US,2021-02-07 20:20:36,32.3502,-85.1999,55.4,47,1,5.75
270,Saint Anthony,US,2021-02-07 20:20:36,45.0205,-93.218,-2.2,49,1,5.75
271,Jiuquan,CN,2021-02-07 20:20:36,39.7432,98.5174,28.36,73,100,1.59
272,Chiang Klang,TH,2021-02-07 20:20:37,19.2938,100.8617,69.08,61,2,1.72
273,Major Isidoro,BR,2021-02-07 20:20:37,-9.5322,-36.985,91.45,40,100,22.84
274,Vostok,RU,2021-02-07 20:20:37,46.4856,135.8833,-15.25,90,100,2.98
275,Bandarbeyla,SO,2021-02-07 20:20:37,9.4942,50.8122,75.74,79,22,18.66
276,Tommot,RU,2021-02-07 20:20:37,58.9564,126.2925,-25.58,80,0,1.14
277,Bedesa,ET,2021-02-07 20:20:37,8.9,40.7833,59.02,83,80,6.38
278,Harper,LR,2021-02-07 20:20:37,4.375,-7.7169,79.74,87,100,6.11
279,Kahului,US,2021-02-07 20:20:38,20.8947,-156.47,75.2,57,1,8.05
280,Muros,ES,2021-02-07 20:20:38,42.7762,-9.0603,55.0,91,100,8.99
281,Clyde River,CA,2021-02-07 20:19:03,70.4692,-68.5914,-2.2,84,75,4.61
282,Bondo,CD,2021-02-07 20:20:38,3.8146,23.6866,72.43,24,67,2.21
283,Terracina,IT,2021-02-07 20:20:38,41.2863,13.2217,57.99,80,100,4.0
284,Tiksi,RU,2021-02-07 20:19:57,71.6872,128.8694,-28.07,86,39,3.76
285,Nanortalik,GL,2021-02-07 20:20:38,60.1432,-45.2371,28.78,89,87,9.22
286,Port-Cartier,CA,2021-02-07 20:20:38,50.0334,-66.8654,24.01,58,0,5.75
287,Luganville,VU,2021-02-07 20:20:38,-15.5333,167.1667,78.67,71,0,6.31
288,Grojec,PL,2021-02-07 20:20:39,51.8625,20.8676,15.01,10,97,20.13
289,Melilla,ES,2021-02-07 20:20:39,35.2937,-2.9383,59.0,63,75,16.11
290,Bubaque,GW,2021-02-07 20:20:39,11.2833,-15.8333,77.68,67,0,16.44
291,Whitehorse,CA,2021-02-07 20:20:39,60.7161,-135.0538,-7.6,77,90,3.44
292,Bhanpura,IN,2021-02-07 20:20:39,24.513,75.7469,61.83,31,0,2.42
